«H¥ô - §Ú¬Û«H¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync¬O¥i¥H«H¿àªº(trustworthy)¡C,«H¥ô - §Ú¬Û«H¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync¬O¥i¾aªº(reliable)¡C,«H¥ô - ¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync¥i¥H³Q«H¥ô¡A¨S¦³¤Ó¦h¤£½T©w©Ê¡C,®Ä¯à´Á±æ - Bot Sync±N«K§Q¦UºØ¸ê°Tªº¨Ï¥Î¡C,®Ä¯à´Á±æ - Bot Sync±N´£¨Ñ¦³§U©ó¨Mµ¦ªº¸ê°T¡C,®Ä¯à´Á±æ - Bot Sync±N¦³§U©ó´£¤ÉºÞ²zÁZ®Ä¡C,§V¤O´Á±æ - §ÚÄ@·N¹Á¸Õ±Ä¥Î(¹ê¬I)Bot Sync¡C,§V¤O´Á±æ - §ÚÄ@·N¾Ç²ß±Ä¥Î(¹ê¬I)Bot Sync¡C,§V¤O´Á±æ - §ÚÄ@·N±µ¨ü°ö°V¥H±Ä¥Î(¹ê¬I)Bot Sync¡C,ªÀ·|¼vÅT - Bot Syncªº¨Ï¥Î¡A¯à´£¤É¦Û§Ú§Î¶H©ÎªÀ·|¦a¦ì¡C,ªÀ·|¼vÅT - ·|¦]¬°¹ï¦Û¤v­«­nªº¤H±ÀÂË¡A¨Ï¥ÎBot Sync¡C,ªÀ·|¼vÅT - ¦b²{¤µªÀ·|Àô¹Ò¤¤¡ABot Syncªº¨Ï¥Î©úÅã¼W¥[¡C,«P¦¨±ø¥ó - §Ú»{¬°§Ú­Ì¤½¥q¨ã³Æ¹ê¬IBot Sync©Ò»Ýªºª¾ÃÑ¡C,«P¦¨±ø¥ó - §Ú»{¬°§Ú­Ì¤½¥q¨ã³Æ¹ê¬IBot Sync©Ò»Ýªº¸ê·½¡C,«P¦¨±ø¥ó - §Ú»{¬°§Ú­Ì¤½¥q¤w¸g·Ç³Æ¦n¹ê¬IBot Sync¡C,§Þ³NÀô¹Ò - §Ú»{¬°§Ú­Ì¤½¥q¾Ö¦³¾A¦XBot Syncªº§Þ³NÀô¹Ò¡C,§Þ³NÀô¹Ò - §Ú»{¬°§Ú­Ì¤½¥q¦³¯à¤O¹ê¬IBot Sync¡C,§Þ³NÀô¹Ò - §Ú»{¬°§Ú­Ì¤½¥q¯à°÷¾Ç²ß¨Ï¥ÎBot Sync¡C,²ÕÂ´Àô¹Ò - §Ú»{¬°ºÞ²z¼h¹ï±Ä¥ÎBot Sync«Ü·P¿³½ì¡C,²ÕÂ´Àô¹Ò - §Ú»{¬°ºÞ²z¼h·Pª¾±Ä¥ÎBot Sync¬O¥²­nªº¡C,²ÕÂ´Àô¹Ò - §Ú»{¬°§Ú­Ì¤½¥q¾Ö¦³¾A·íªº¤H¤O¸ê·½¨Ó±Ä¥Î¡]¹ê¬I¡^Bot Sync¡C,Àô¹Ò­I´º - §Ú»{¬°§Ú­Ìªº°Ó·~¹Ù¦ñ·|Ä@·N±Ä¥ÎBot Sync¡C,Àô¹Ò­I´º - §Ú»{¬°§Ú­Ìªº°Ó·~¹Ù¦ñ·|­n¨D±Ä¥ÎBot Sync¡C,Àô¹Ò­I´º - §Ú»{¬°¦pªG¤£±Ä¥ÎBot Sync¡A§Úªº¤½¥q±N­±Á{Ävª§¦H¶Õ¡C,Àô¹Ò­I´º - §Ú»{¬°±Ä¥ÎBot Sync±N¼W¥[¶W¶VÄvª§¹ï¤âªº¯à¤O¡C,Àô¹Ò­I´º - §Ú»{¬°§Ú©Ò¦bªº¦æ·~§O·|Ä@·N±Ä¥ÎBot Sync¡C,ºA«× - ±Ä¥Î¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync°µ¬°(¤u§@/¥Í¬¡¤W)ªº§U¤â¡A¬O¤@­Ó¦n¥D·N¡C,ºA«× - ±Ä¥Î¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync°µ¬°(¤u§@/¥Í¬¡¤W)ªº§U¤â¡A¬O¤@­Ó©ú´¼ªº·Qªk¡C,ºA«× - §ÚÄ@·N¨Ï¥Î¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync¡A°µ¬°(¤u§@/¥Í¬¡¤W)ªº§U¤â¡C,¨Ï¥Î·N¦V - §Ú¥´ºâ¦b¥¼¨Ó¨Ï¥ÎBot Sync¡C,¨Ï¥Î·N¦V - §Ú·|±ÀÂË¨ä¥L¤H¨Ï¥ÎBot Sync¡C,¨Ï¥Î·N¦V - ±N¨Ó§Ú·|¸g±`¨Ï¥ÎBot Sync¡C,©Ê§O,¦~ÄÖ,±Ð¨|µ{«×,¤½¥q­û¤u¼Æ,¸ê°T­I´º½Õ¬d,Â¾¯Å½Õ¬d,¤u§@¦~¸ê,¶ñµª®É¶¡,¶ñµª¬í¼Æ,SAME,Short
4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,1,2,5,1,1,1,2023/9/20 14:49,19549,not,True
4,4,4,4,4,3,4,4,5,3,3,3,3,3,4,3,4,4,3,2,3,3,3,2,3,4,4,4,4,4,4,4,1,3,4,3,1,2,3,2023/9/20 19:06,170,not,True
4,4,3,4,4,4,4,4,4,2,2,3,3,3,3,3,3,4,3,2,3,4,4,2,2,3,4,4,3,3,2,3,1,2,2,3,2,1,2,2023/9/20 22:54,451,not,True
4,4,3,5,4,4,5,5,5,5,5,4,2,2,1,2,1,2,2,2,1,3,3,3,4,2,4,4,4,4,3,3,2,1,2,5,2,1,1,2023/9/20 23:34,199,not,True
4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,4,3,3,3,2,3,4,4,3,4,4,4,3,3,3,1,4,2,4,1,3,5,2023/9/21 05:07,564,not,True
3,3,3,4,3,4,4,4,4,4,4,5,2,3,3,2,4,4,3,3,4,3,3,2,3,3,4,4,4,4,4,4,1,4,2,2,2,2,5,2023/9/21 07:26,289,not,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,1,3,2023/9/21 07:27,91,same,True
4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,1,2,2,2,1,1,1,2023/9/21 07:43,298,not,True
3,3,3,5,4,4,3,3,3,3,3,4,3,3,2,2,2,4,1,2,1,3,2,2,3,2,5,5,4,4,3,3,1,2,2,4,1,1,2,2023/9/21 07:49,428,not,True
3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,2,1,2,2023/9/21 07:49,74,not,False
3,3,3,3,3,3,4,4,4,4,3,2,3,3,3,3,3,3,4,4,2,3,3,1,3,3,3,3,3,3,3,3,1,2,2,1,2,2,3,2023/9/21 07:49,2193,not,True
4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,3,4,3,4,1,4,2,2,1,2,5,2023/9/21 08:04,162,not,True
5,4,4,5,5,5,5,5,5,5,5,5,4,4,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,1,2,2,5,1,1,2,2023/9/21 08:33,126,not,True
3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3,3,1,2,2,5,1,1,3,2023/9/21 08:43,326,not,True
3,3,3,4,3,3,4,3,3,2,3,2,4,4,4,4,4,4,3,2,4,3,3,2,2,3,4,3,3,3,3,2,1,2,2,5,1,2,2,2023/9/21 08:43,200,not,True
4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,5,1,1,3,2023/9/21 08:44,156,not,True
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,4,2,5,1,3,5,2023/9/21 08:48,332,not,True
3,3,3,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,4,3,3,3,3,3,2,2,3,2,2,1,4,2023/9/21 08:49,295,not,True
4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,2,4,1,1,3,2023/9/21 08:50,125,not,True
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,5,1,1,3,2023/9/21 08:51,96,same,True
4,4,3,4,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,3,1,2,2,5,1,1,2,2023/9/21 09:04,179,not,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,1,2,1,1,2023/9/21 09:22,58,same,False
4,4,4,5,5,3,4,4,4,3,3,3,3,4,3,4,4,4,5,4,4,3,3,3,3,4,4,4,4,4,3,3,1,3,3,5,1,1,3,2023/9/21 09:23,1208,not,True
3,4,2,4,5,4,4,4,4,5,4,5,5,5,5,5,4,5,4,5,3,3,3,3,4,4,4,4,4,4,4,4,1,3,3,5,1,1,5,2023/9/21 09:30,363,not,True
3,3,3,4,4,3,4,4,4,2,3,2,3,3,3,3,4,4,2,3,3,2,2,1,1,3,4,4,4,3,3,4,1,2,3,5,2,1,3,2023/9/21 09:32,1772,not,True
4,4,3,5,5,4,4,5,4,3,4,3,4,3,3,5,5,5,5,5,4,4,3,2,3,4,4,4,3,3,4,3,1,2,3,5,1,1,3,2023/9/21 10:04,254,not,True
5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,5,1,1,2,2023/9/21 10:08,171,not,True
4,4,4,4,3,3,4,4,3,3,3,2,2,2,2,4,4,4,3,3,3,3,2,2,3,3,4,4,4,4,3,3,2,3,3,4,1,2,3,2023/9/21 10:10,284,not,True
4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,3,5,1,1,1,2023/9/21 10:11,329,not,True
3,4,2,4,4,4,4,4,4,3,3,3,3,2,2,4,3,2,3,3,3,3,3,3,3,3,4,4,4,4,3,3,1,2,2,5,1,1,1,2023/9/21 10:11,353,not,True
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,5,1,1,1,2023/9/21 10:12,386,not,True
4,4,3,3,4,4,4,4,3,3,4,4,2,2,2,2,2,2,4,4,3,4,4,4,4,4,4,3,3,3,3,3,1,3,2,4,1,1,4,2023/9/21 10:13,214,not,True
4,4,4,4,4,4,4,4,4,4,5,4,3,3,3,3,3,4,3,3,3,4,3,3,3,4,4,5,5,4,4,4,2,3,2,4,1,1,4,2023/9/21 10:14,465,not,True
4,4,4,3,2,2,4,4,3,2,3,3,4,4,3,3,3,4,3,3,4,4,3,3,4,4,4,4,4,4,3,3,2,4,3,5,1,3,3,2023/9/21 10:17,373,not,True
4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,1,4,3,2,1,3,5,2023/9/21 10:17,297,not,True
3,3,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,4,3,2,3,3,2,2,2,3,4,3,3,3,3,3,2,4,2,5,1,2,5,2023/9/21 10:19,414,not,True
2,2,1,2,3,1,4,4,5,5,5,4,4,4,3,4,5,5,5,4,5,5,4,3,4,2,5,4,4,5,5,3,1,3,3,5,1,2,5,2023/9/21 10:20,87,not,False
4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,1,3,2,5,1,3,5,2023/9/21 10:22,432,not,True
4,4,3,3,4,4,4,3,3,4,3,3,4,4,4,4,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,1,3,3,4,1,1,4,2023/9/21 10:24,133,not,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,2,5,1,1,3,2023/9/21 10:48,92,same,True
4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,1,3,3,1,1,3,5,2023/9/21 10:49,323,not,True
5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,4,4,3,4,4,4,3,4,3,5,5,5,4,4,4,1,3,2,5,1,2,4,2023/9/21 10:54,2930,not,True
5,5,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,5,5,4,4,3,4,4,4,5,4,4,4,4,3,1,4,3,5,1,4,5,2023/9/21 10:55,316,not,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,5,1,1,3,2023/9/21 11:08,64,same,False
4,3,4,4,4,4,5,5,5,3,5,4,4,4,3,5,4,4,5,4,4,4,3,4,4,4,5,5,5,4,4,4,1,3,3,5,1,1,4,2023/9/21 11:38,239,not,True
3,3,3,4,4,4,4,3,4,3,3,3,3,4,2,3,4,3,3,2,4,3,3,3,4,3,4,4,4,4,3,3,1,3,2,4,1,3,4,2023/9/21 11:48,231,not,True
4,4,3,3,3,4,4,4,4,3,3,3,4,4,3,4,4,4,4,3,4,3,3,3,4,4,4,3,3,3,3,3,1,3,3,1,1,4,5,2023/9/21 12:13,207,not,True
3,3,3,5,4,3,3,3,4,4,3,3,4,5,4,4,4,4,3,3,4,4,3,5,4,3,4,3,4,4,3,3,2,1,1,1,2,1,1,2023/9/21 12:19,220,not,True
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,5,1,1,5,2023/9/21 12:55,101,same,True
3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,3,3,2,3,3,2,3,3,4,4,4,3,3,3,1,3,2,2,1,1,4,2023/9/21 13:32,362,not,True
4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,5,5,2,4,3,3,4,4,4,4,4,4,4,4,2,1,2,5,1,1,2,2023/9/21 14:50,410,not,True
4,4,3,4,3,3,3,3,3,3,3,4,3,3,2,3,3,2,2,2,2,3,2,1,1,1,3,3,3,3,3,3,1,2,2,4,2,1,2,2023/9/21 14:52,156,not,True
4,4,4,5,5,5,5,5,5,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,1,4,3,5,1,3,4,2023/9/21 15:32,341,not,True
4,3,2,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,4,4,2,2,2,3,3,4,4,4,4,4,4,2,2,2,4,1,1,3,2023/9/21 15:57,402,not,True
4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,3,3,3,1,4,2,3,2,2,5,2023/9/21 16:37,465,not,True
4,3,4,4,3,4,4,4,4,3,4,4,1,1,1,2,3,4,2,2,2,3,2,2,2,3,4,3,4,3,3,3,2,2,2,2,2,1,2,2023/9/21 17:24,395,not,True
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,5,2,1,1,2023/9/21 17:32,60,same,False
4,4,3,4,4,4,4,4,4,3,4,4,3,3,3,3,4,4,5,5,4,3,3,3,4,4,4,3,4,4,4,4,1,4,2,1,1,4,5,2023/9/21 17:40,358,not,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,1,2,1,5,2023/9/21 20:27,250,same,True
4,4,3,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,1,4,2,2,2,3,5,2023/9/21 20:43,395,not,True
5,4,4,5,5,5,5,4,5,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,1,3,1,1,1,1,2023/9/21 21:23,184,not,True
4,4,4,4,2,4,4,4,4,4,4,3,2,2,3,3,4,4,4,5,4,4,3,3,4,4,4,4,4,4,4,4,2,1,2,2,2,1,2,2023/9/21 23:24,421,not,True
4,4,3,4,3,5,4,5,5,5,5,5,4,4,4,4,4,4,5,4,4,4,3,4,4,5,4,5,5,4,4,4,1,1,2,5,1,1,1,2023/9/22 09:36,287,not,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,5,2,1,3,2023/9/22 17:42,280,same,True
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,2,1,4,2023/9/22 18:47,89,same,False
4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,3,2,3,3,4,4,4,4,3,3,3,2,1,3,1,1,1,1,2023/9/22 21:05,98,not,True
4,4,3,4,4,4,4,4,4,4,4,4,3,3,2,2,2,3,3,3,3,2,2,2,2,2,4,3,3,3,3,2,2,1,2,1,2,1,2,2023/9/22 22:06,363,not,True
3,3,2,3,3,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,2,1,2,2,2,1,2,2023/9/22 22:27,394,not,True
5,5,4,5,5,5,5,5,5,4,5,4,3,2,2,4,4,4,3,5,4,5,3,4,5,4,5,5,5,5,5,4,2,2,2,4,1,1,3,2023/9/22 22:36,2018,not,True
